logicalName,schemaName,label1033,label2052,type,precision,precisionSource,minValue,maxValue,maxLength,requiredLevel,currencyStrategy,safeContextPolicy,providerPayloadPolicy
"aigw_name","aigw_Name","Actual Name","实绩名称","String","","","","","200","ApplicationRequired","Not applicable","Tokenize as actualRecordToken; never send the name.","Forbidden raw value"
"aigw_opportunityid","aigw_OpportunityId","Related Opportunity","相关商机","Lookup(opportunity)","","","","","","ApplicationRequired","Not applicable","Use opportunityToken only.","Forbidden record ID and raw opportunity name"
"aigw_expectedorderdate","aigw_ExpectedOrderDate","Expected Order Date","预计下单日","DateTime(DateOnly)","","","1900-01-01","9999-12-30","","None","Not applicable","Derive fiscal period or overdue/due-soon category only.","Exact date forbidden"
"aigw_annualactualrevenue","aigw_AnnualActualRevenue","Annual Actual Revenue","年度实绩收入","Money","2","2","0","100000000000","","None","Transaction-currency Money; Dataverse automatically creates aigw_annualactualrevenue_base. Because the environment base currency is CNY, the generated base value is the authoritative CNY conversion.","Amount band and annual trend only; never expose both transaction and base exact values.","Exact transaction/base amounts forbidden"
"aigw_aprilactualrevenue","aigw_AprilActualRevenue","April Actual Revenue","4月实绩收入","Money","2","2","-100000000000000","100000000000000","","None","Transaction-currency Money; Dataverse creates aigw_aprilactualrevenue_base automatically.","Monthly band/trend/variance/anomaly derivation only.","Exact monthly amount forbidden"
"aigw_aprilactualgp","aigw_AprilActualGP","April Actual GP","4月实绩毛利润","Money","2","2","-100000000000000","100000000000000","","None","Transaction-currency Money; Dataverse creates aigw_aprilactualgp_base automatically.","Monthly band/trend/variance/anomaly derivation only.","Exact monthly amount forbidden"
"aigw_aprilactualmp","aigw_AprilActualMP","April Actual MP","4月实绩边际利润","Money","2","2","-100000000000000","100000000000000","","None","Transaction-currency Money; Dataverse creates aigw_aprilactualmp_base automatically.","Monthly band/trend/variance/anomaly derivation only.","Exact monthly amount forbidden"
"aigw_mayactualrevenue","aigw_MayActualRevenue","May Actual Revenue","5月实绩收入","Money","2","2","-100000000000000","100000000000000","","None","Transaction-currency Money; Dataverse creates aigw_mayactualrevenue_base automatically.","Monthly band/trend/variance/anomaly derivation only.","Exact monthly amount forbidden"
"aigw_mayactualgp","aigw_MayActualGP","May Actual GP","5月实绩毛利润","Money","2","2","-100000000000000","100000000000000","","None","Transaction-currency Money; Dataverse creates aigw_mayactualgp_base automatically.","Monthly band/trend/variance/anomaly derivation only.","Exact monthly amount forbidden"
"aigw_mayactualmp","aigw_MayActualMP","May Actual MP","5月实绩边际利润","Money","2","2","-100000000000000","100000000000000","","None","Transaction-currency Money; Dataverse creates aigw_mayactualmp_base automatically.","Monthly band/trend/variance/anomaly derivation only.","Exact monthly amount forbidden"
"aigw_juneactualrevenue","aigw_JuneActualRevenue","June Actual Revenue","6月实绩收入","Money","2","2","-100000000000000","100000000000000","","None","Transaction-currency Money; Dataverse creates aigw_juneactualrevenue_base automatically.","Monthly band/trend/variance/anomaly derivation only.","Exact monthly amount forbidden"
"aigw_juneactualgp","aigw_JuneActualGP","June Actual GP","6月实绩毛利润","Money","2","2","-100000000000000","100000000000000","","None","Transaction-currency Money; Dataverse creates aigw_juneactualgp_base automatically.","Monthly band/trend/variance/anomaly derivation only.","Exact monthly amount forbidden"
"aigw_juneactualmp","aigw_JuneActualMP","June Actual MP","6月实绩边际利润","Money","2","2","-100000000000000","100000000000000","","None","Transaction-currency Money; Dataverse creates aigw_juneactualmp_base automatically.","Monthly band/trend/variance/anomaly derivation only.","Exact monthly amount forbidden"
"aigw_julyactualrevenue","aigw_JulyActualRevenue","July Actual Revenue","7月实绩收入","Money","2","2","-100000000000000","100000000000000","","None","Transaction-currency Money; Dataverse creates aigw_julyactualrevenue_base automatically.","Monthly band/trend/variance/anomaly derivation only.","Exact monthly amount forbidden"
"aigw_julyactualgp","aigw_JulyActualGP","July Actual GP","7月实绩毛利润","Money","2","2","-100000000000000","100000000000000","","None","Transaction-currency Money; Dataverse creates aigw_julyactualgp_base automatically.","Monthly band/trend/variance/anomaly derivation only.","Exact monthly amount forbidden"
"aigw_julyactualmp","aigw_JulyActualMP","July Actual MP","7月实绩边际利润","Money","2","2","-100000000000000","100000000000000","","None","Transaction-currency Money; Dataverse creates aigw_julyactualmp_base automatically.","Monthly band/trend/variance/anomaly derivation only.","Exact monthly amount forbidden"
"aigw_augustactualrevenue","aigw_AugustActualRevenue","August Actual Revenue","8月实绩收入","Money","2","2","-100000000000000","100000000000000","","None","Transaction-currency Money; Dataverse creates aigw_augustactualrevenue_base automatically.","Monthly band/trend/variance/anomaly derivation only.","Exact monthly amount forbidden"
"aigw_augustactualgp","aigw_AugustActualGP","August Actual GP","8月实绩毛利润","Money","2","2","-100000000000000","100000000000000","","None","Transaction-currency Money; Dataverse creates aigw_augustactualgp_base automatically.","Monthly band/trend/variance/anomaly derivation only.","Exact monthly amount forbidden"
"aigw_augustactualmp","aigw_AugustActualMP","August Actual MP","8月实绩边际利润","Money","2","2","-100000000000000","100000000000000","","None","Transaction-currency Money; Dataverse creates aigw_augustactualmp_base automatically.","Monthly band/trend/variance/anomaly derivation only.","Exact monthly amount forbidden"
"aigw_septemberactualrevenue","aigw_SeptemberActualRevenue","September Actual Revenue","9月实绩收入","Money","2","2","-100000000000000","100000000000000","","None","Transaction-currency Money; Dataverse creates aigw_septemberactualrevenue_base automatically.","Monthly band/trend/variance/anomaly derivation only.","Exact monthly amount forbidden"
"aigw_septemberactualgp","aigw_SeptemberActualGP","September Actual GP","9月实绩毛利润","Money","2","2","-100000000000000","100000000000000","","None","Transaction-currency Money; Dataverse creates aigw_septemberactualgp_base automatically.","Monthly band/trend/variance/anomaly derivation only.","Exact monthly amount forbidden"
"aigw_septemberactualmp","aigw_SeptemberActualMP","September Actual MP","9月实绩边际利润","Money","2","2","-100000000000000","100000000000000","","None","Transaction-currency Money; Dataverse creates aigw_septemberactualmp_base automatically.","Monthly band/trend/variance/anomaly derivation only.","Exact monthly amount forbidden"
"aigw_octoberactualrevenue","aigw_OctoberActualRevenue","October Actual Revenue","10月实绩收入","Money","2","2","-100000000000000","100000000000000","","None","Transaction-currency Money; Dataverse creates aigw_octoberactualrevenue_base automatically.","Monthly band/trend/variance/anomaly derivation only.","Exact monthly amount forbidden"
"aigw_octoberactualgp","aigw_OctoberActualGP","October Actual GP","10月实绩毛利润","Money","2","2","-100000000000000","100000000000000","","None","Transaction-currency Money; Dataverse creates aigw_octoberactualgp_base automatically.","Monthly band/trend/variance/anomaly derivation only.","Exact monthly amount forbidden"
"aigw_octoberactualmp","aigw_OctoberActualMP","October Actual MP","10月实绩边际利润","Money","2","2","-100000000000000","100000000000000","","None","Transaction-currency Money; Dataverse creates aigw_octoberactualmp_base automatically.","Monthly band/trend/variance/anomaly derivation only.","Exact monthly amount forbidden"
"aigw_novemberactualrevenue","aigw_NovemberActualRevenue","November Actual Revenue","11月实绩收入","Money","2","2","-100000000000000","100000000000000","","None","Transaction-currency Money; Dataverse creates aigw_novemberactualrevenue_base automatically.","Monthly band/trend/variance/anomaly derivation only.","Exact monthly amount forbidden"
"aigw_novemberactualgp","aigw_NovemberActualGP","November Actual GP","11月实绩毛利润","Money","2","2","-100000000000000","100000000000000","","None","Transaction-currency Money; Dataverse creates aigw_novemberactualgp_base automatically.","Monthly band/trend/variance/anomaly derivation only.","Exact monthly amount forbidden"
"aigw_novemberactualmp","aigw_NovemberActualMP","November Actual MP","11月实绩边际利润","Money","2","2","-100000000000000","100000000000000","","None","Transaction-currency Money; Dataverse creates aigw_novemberactualmp_base automatically.","Monthly band/trend/variance/anomaly derivation only.","Exact monthly amount forbidden"
